                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.78546,                0.58958,                 1.1604,                0.59702,                0.45474,                0.48156,                0.25092,                 1.5444,                 1.1682,                 1.8437,             0.00013625,             0.00013625,             0.00013625
                     92,                0.76877,                0.58196,                 1.1664,                0.60059,                 0.4127,                0.43957,                0.23235,                 1.5557,                 1.2078,                 1.8602,             0.00012387,             0.00012387,             0.00012387
                     93,                0.77033,                0.58762,                 1.1512,                0.45126,                0.49296,                0.44868,                 0.2316,                 1.5299,                 1.2115,                 1.8379,              0.0001115,              0.0001115,              0.0001115
                     94,                0.75339,                 0.5945,                 1.1501,                0.51805,                0.44999,                0.45721,                0.24083,                 1.5261,                 1.2116,                 1.8403,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.76312,                0.57758,                 1.1488,                0.41591,                0.47973,                0.44759,                0.24224,                 1.5493,                 1.2086,                 1.8623,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.7458,                0.57725,                 1.1519,                0.54176,                0.47213,                0.46082,                0.24517,                 1.5586,                 1.2281,                 1.8764,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 0.7413,                0.55241,                 1.1447,                0.52792,                0.46827,                0.45976,                 0.2428,                 1.5496,                  1.219,                 1.8599,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.73815,                0.56318,                 1.1445,                0.51858,                0.49544,                0.46434,                0.24258,                 1.5529,                 1.2049,                 1.8668,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.72853,                 0.5654,                 1.1275,                0.51757,                0.52705,                0.47745,                0.24342,                 1.5508,                 1.1977,                 1.8717,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.72911,                  0.554,                 1.1389,                0.49543,                0.51248,                0.46093,                0.24096,                 1.5488,                 1.1868,                 1.8733,             2.4875e-05,             2.4875e-05,             2.4875e-05
